Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
                0.00    0.00       3/27          testing::internal::MakeAndRegisterTestInfo(char const*, char const*, char const*, char const*, testing::internal::CodeLocation, void const*, void (*)(), void (*)(), testing::internal::TestFactoryBase*) [53]
                0.00    0.00       4/27          testing::internal::SplitString(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*) [31]
                0.00    0.00       6/27          testing::TestInfo::TestInfo(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*, char const*, testing::internal::CodeLocation, void const*, testing::internal::TestFactoryBase*) [45]
                0.00    0.00       9/27          testing::internal::UnitTestImpl::GetTestSuite(char const*, char const*, void (*)(), void (*)()) [47]
[13]     0.0    0.00    0.00      27         testing::internal::TestEventRepeater::~TestEventRepeater() [13]
-----------------------------------------------
                0.00    0.00       1/26          testing::internal::UnitTestOptions::GetOutputFormat[abi:cxx11]() [93]
                0.00    0.00       1/26          testing::TestSuite::TestSuite(char const*, char const*, void (*)(), void (*)()) [122]
                0.00    0.00       1/26          testing::internal::UnitTestImpl::UnitTestImpl(testing::UnitTest*) [83]
                0.00    0.00       1/26          testing::UnitTest::Run() [76]
                0.00    0.00       2/26          testing::internal::ShouldUseColor(bool) [86]
                0.00    0.00       2/26          testing::internal::UnitTestImpl::FilterTests(testing::internal::UnitTestImpl::ReactionToSharding) [79]
                0.00    0.00       5/26          testing::internal::UnitTestImpl::GetTestSuite(char const*, char const*, void (*)(), void (*)()) [47]
                0.00    0.00       6/26          testing::internal::MakeAndRegisterTestInfo(char const*, char const*, char const*, char const*, testing::internal::CodeLocation, void const*, void (*)(), void (*)(), testing::internal::TestFactoryBase*) [53]
                0.00    0.00       7/26          _GLOBAL__sub_I__ZN7testing15AssertionResultC2ERKS0_ [132]
[14]     0.0    0.00    0.00      26         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [clone .constprop.0] [14]
-----------------------------------------------
                0.00    0.00       2/22          testing::internal::(anonymous namespace)::UnitTestFilter::MatchesName(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const [124]
                0.00    0.00       5/22          testing::internal::(anonymous namespace)::UnitTestFilter::UnitTestFilter(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [48]
                0.00    0.00      15/22          testing::internal::UnitTestImpl::FilterTests(testing::internal::UnitTestImpl::ReactionToSharding) [79]
